pessoa,entidade_risco,saltos,tipo_caminho,caminho,relevante
PERSON_001,RISK_001,1,MATCHED_TO,PERSON_001 > RISK_001,True
PERSON_002,RISK_002,2,CONTROLS > MATCHED_TO,PERSON_002 > COMPANY_001 > RISK_002,True
PERSON_003,RISK_003,3,USES_DEVICE > USES_DEVICE > MATCHED_TO,PERSON_003 > DEVICE_001 > PERSON_005 > RISK_003,True
PERSON_004,RISK_002,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_004 > ADDRESS_011 > COMPANY_001 > RISK_002,False
PERSON_004,RISK_003,3,USES_DEVICE > USES_DEVICE > MATCHED_TO,PERSON_004 > DEVICE_001 > PERSON_005 > RISK_003,True
PERSON_005,RISK_003,1,MATCHED_TO,PERSON_005 > RISK_003,True
PERSON_006,RISK_003,3,USES_DEVICE > USES_DEVICE > MATCHED_TO,PERSON_006 > DEVICE_025 > PERSON_005 > RISK_003,False
PERSON_006,RISK_004,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_006 > ADDRESS_001 > COMPANY_002 > RISK_004,True
PERSON_014,RISK_002,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_014 > ADDRESS_011 > COMPANY_001 > RISK_002,False
PERSON_021,RISK_003,3,LIVES_AT > LIVES_AT > MATCHED_TO,PERSON_021 > ADDRESS_017 > PERSON_005 > RISK_003,False
PERSON_022,RISK_004,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_022 > ADDRESS_001 > COMPANY_002 > RISK_004,False
PERSON_028,RISK_004,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_028 > ADDRESS_001 > COMPANY_002 > RISK_004,False
PERSON_032,RISK_003,3,USES_DEVICE > USES_DEVICE > MATCHED_TO,PERSON_032 > DEVICE_025 > PERSON_005 > RISK_003,False
PERSON_042,RISK_004,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_042 > ADDRESS_033 > COMPANY_002 > RISK_004,False
PERSON_043,RISK_003,3,USES_DEVICE > USES_DEVICE > MATCHED_TO,PERSON_043 > DEVICE_001 > PERSON_005 > RISK_003,False
PERSON_044,RISK_001,3,USES_DEVICE > USES_DEVICE > MATCHED_TO,PERSON_044 > DEVICE_007 > PERSON_001 > RISK_001,False
PERSON_045,RISK_004,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_045 > ADDRESS_001 > COMPANY_002 > RISK_004,False
PERSON_047,RISK_002,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_047 > ADDRESS_011 > COMPANY_001 > RISK_002,False
PERSON_048,RISK_004,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_048 > ADDRESS_033 > COMPANY_002 > RISK_004,False
PERSON_052,RISK_003,3,USES_DEVICE > USES_DEVICE > MATCHED_TO,PERSON_052 > DEVICE_025 > PERSON_005 > RISK_003,False
PERSON_052,RISK_004,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_052 > ADDRESS_001 > COMPANY_002 > RISK_004,False
PERSON_061,RISK_002,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_061 > ADDRESS_011 > COMPANY_001 > RISK_002,False
PERSON_065,RISK_003,3,USES_DEVICE > USES_DEVICE > MATCHED_TO,PERSON_065 > DEVICE_001 > PERSON_005 > RISK_003,False
PERSON_070,RISK_004,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_070 > ADDRESS_001 > COMPANY_002 > RISK_004,False
PERSON_074,RISK_003,3,USES_DEVICE > USES_DEVICE > MATCHED_TO,PERSON_074 > DEVICE_025 > PERSON_005 > RISK_003,False
PERSON_077,RISK_003,3,USES_DEVICE > USES_DEVICE > MATCHED_TO,PERSON_077 > DEVICE_001 > PERSON_005 > RISK_003,False
PERSON_078,RISK_002,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_078 > ADDRESS_011 > COMPANY_001 > RISK_002,False
PERSON_079,RISK_001,3,LIVES_AT > LIVES_AT > MATCHED_TO,PERSON_079 > ADDRESS_009 > PERSON_001 > RISK_001,False
PERSON_079,RISK_003,3,USES_DEVICE > USES_DEVICE > MATCHED_TO,PERSON_079 > DEVICE_025 > PERSON_005 > RISK_003,False
PERSON_080,RISK_003,3,LIVES_AT > LIVES_AT > MATCHED_TO,PERSON_080 > ADDRESS_017 > PERSON_005 > RISK_003,False
PERSON_081,RISK_001,3,USES_DEVICE > USES_DEVICE > MATCHED_TO,PERSON_081 > DEVICE_007 > PERSON_001 > RISK_001,False
PERSON_083,RISK_004,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_083 > ADDRESS_033 > COMPANY_002 > RISK_004,False
PERSON_085,RISK_002,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_085 > ADDRESS_011 > COMPANY_001 > RISK_002,False
PERSON_087,RISK_004,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_087 > ADDRESS_033 > COMPANY_002 > RISK_004,False
PERSON_095,RISK_003,3,USES_DEVICE > USES_DEVICE > MATCHED_TO,PERSON_095 > DEVICE_025 > PERSON_005 > RISK_003,False
PERSON_097,RISK_003,3,LIVES_AT > LIVES_AT > MATCHED_TO,PERSON_097 > ADDRESS_017 > PERSON_005 > RISK_003,False
PERSON_100,RISK_003,3,USES_DEVICE > USES_DEVICE > MATCHED_TO,PERSON_100 > DEVICE_025 > PERSON_005 > RISK_003,False
