pessoa,entidade_risco,saltos,tipo_caminho,caminho,relevante,intermediarios,tipos_intermediarios,grau_max_intermediario,grau_medio_intermediario,exclusividade
PERSON_001,RISK_001,1,MATCHED_TO,PERSON_001 > RISK_001,True,,,0,0.0,1.0
PERSON_002,RISK_002,2,CONTROLS > MATCHED_TO,PERSON_002 > COMPANY_001 > RISK_002,True,COMPANY_001,Company,4,4.0,0.25
PERSON_003,RISK_003,3,USES_DEVICE > USES_DEVICE > MATCHED_TO,PERSON_003 > DEVICE_001 > PERSON_005 > RISK_003,True,DEVICE_001 > PERSON_005,Device > Person,6,5.5,0.1667
PERSON_004,RISK_002,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_004 > ADDRESS_011 > COMPANY_001 > RISK_002,False,ADDRESS_011 > COMPANY_001,Address > Company,7,5.5,0.1429
PERSON_004,RISK_003,3,USES_DEVICE > USES_DEVICE > MATCHED_TO,PERSON_004 > DEVICE_001 > PERSON_005 > RISK_003,True,DEVICE_001 > PERSON_005,Device > Person,6,5.5,0.1667
PERSON_005,RISK_003,1,MATCHED_TO,PERSON_005 > RISK_003,True,,,0,0.0,1.0
PERSON_006,RISK_003,3,USES_DEVICE > USES_DEVICE > MATCHED_TO,PERSON_006 > DEVICE_025 > PERSON_005 > RISK_003,False,DEVICE_025 > PERSON_005,Device > Person,8,6.5,0.125
PERSON_006,RISK_004,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_006 > ADDRESS_001 > COMPANY_002 > RISK_004,True,ADDRESS_001 > COMPANY_002,Address > Company,8,6.0,0.125
PERSON_014,RISK_002,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_014 > ADDRESS_011 > COMPANY_001 > RISK_002,False,ADDRESS_011 > COMPANY_001,Address > Company,7,5.5,0.1429
PERSON_021,RISK_003,3,LIVES_AT > LIVES_AT > MATCHED_TO,PERSON_021 > ADDRESS_017 > PERSON_005 > RISK_003,False,ADDRESS_017 > PERSON_005,Address > Person,5,4.5,0.2
PERSON_022,RISK_004,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_022 > ADDRESS_001 > COMPANY_002 > RISK_004,False,ADDRESS_001 > COMPANY_002,Address > Company,8,6.0,0.125
PERSON_028,RISK_004,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_028 > ADDRESS_001 > COMPANY_002 > RISK_004,False,ADDRESS_001 > COMPANY_002,Address > Company,8,6.0,0.125
PERSON_032,RISK_003,3,USES_DEVICE > USES_DEVICE > MATCHED_TO,PERSON_032 > DEVICE_025 > PERSON_005 > RISK_003,False,DEVICE_025 > PERSON_005,Device > Person,8,6.5,0.125
PERSON_042,RISK_004,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_042 > ADDRESS_033 > COMPANY_002 > RISK_004,False,ADDRESS_033 > COMPANY_002,Address > Company,7,5.5,0.1429
