pessoa,entidade_risco,saltos,tipos_relacao,caminho,ground_truth,tipo_exposicao
PERSON_001,RISK_001,1,MATCHED_TO,PERSON_001 > RISK_001,True,Direta
PERSON_005,RISK_003,1,MATCHED_TO,PERSON_005 > RISK_003,True,Direta
PERSON_002,RISK_002,2,CONTROLS > MATCHED_TO,PERSON_002 > COMPANY_001 > RISK_002,True,Indireta
PERSON_044,RISK_001,3,USES_DEVICE > USES_DEVICE > MATCHED_TO,PERSON_044 > DEVICE_007 > PERSON_001 > RISK_001,False,Indireta
PERSON_081,RISK_001,3,USES_DEVICE > USES_DEVICE > MATCHED_TO,PERSON_081 > DEVICE_007 > PERSON_001 > RISK_001,False,Indireta
PERSON_004,RISK_002,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_004 > ADDRESS_011 > COMPANY_001 > RISK_002,False,Indireta
PERSON_014,RISK_002,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_014 > ADDRESS_011 > COMPANY_001 > RISK_002,False,Indireta
PERSON_079,RISK_001,3,LIVES_AT > LIVES_AT > MATCHED_TO,PERSON_079 > ADDRESS_009 > PERSON_001 > RISK_001,False,Indireta
PERSON_047,RISK_002,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_047 > ADDRESS_011 > COMPANY_001 > RISK_002,False,Indireta
PERSON_061,RISK_002,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_061 > ADDRESS_011 > COMPANY_001 > RISK_002,False,Indireta
PERSON_078,RISK_002,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_078 > ADDRESS_011 > COMPANY_001 > RISK_002,False,Indireta
PERSON_085,RISK_002,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_085 > ADDRESS_011 > COMPANY_001 > RISK_002,False,Indireta
PERSON_021,RISK_003,3,LIVES_AT > LIVES_AT > MATCHED_TO,PERSON_021 > ADDRESS_017 > PERSON_005 > RISK_003,False,Indireta
PERSON_080,RISK_003,3,LIVES_AT > LIVES_AT > MATCHED_TO,PERSON_080 > ADDRESS_017 > PERSON_005 > RISK_003,False,Indireta
PERSON_097,RISK_003,3,LIVES_AT > LIVES_AT > MATCHED_TO,PERSON_097 > ADDRESS_017 > PERSON_005 > RISK_003,False,Indireta
PERSON_003,RISK_003,3,USES_DEVICE > USES_DEVICE > MATCHED_TO,PERSON_003 > DEVICE_001 > PERSON_005 > RISK_003,True,Indireta
PERSON_004,RISK_003,3,USES_DEVICE > USES_DEVICE > MATCHED_TO,PERSON_004 > DEVICE_001 > PERSON_005 > RISK_003,True,Indireta
PERSON_043,RISK_003,3,USES_DEVICE > USES_DEVICE > MATCHED_TO,PERSON_043 > DEVICE_001 > PERSON_005 > RISK_003,False,Indireta
PERSON_065,RISK_003,3,USES_DEVICE > USES_DEVICE > MATCHED_TO,PERSON_065 > DEVICE_001 > PERSON_005 > RISK_003,False,Indireta
