grupo,id,valor,party_type_id,feature_type_group_id,script_code
AliasType,1400,A.K.A.,,,
AliasType,1401,F.K.A.,,,
AliasType,1402,N.K.A.,,,
AliasType,1403,Name,,,
Country,11029,Afghanistan,,,
Country,11030,Albania,,,
Country,11031,Algeria,,,
Country,11033,Angola,,,
Country,11034,Antigua and Barbuda,,,
Country,11035,Argentina,,,
Country,11036,Armenia,,,
Country,11037,Australia,,,
Country,11038,Austria,,,
Country,11039,Azerbaijan,,,
Country,11040,"Bahamas, The",,,
Country,11041,Bahrain,,,
Country,11042,Bangladesh,,,
Country,11043,Barbados,,,
Country,11044,Belarus,,,
Country,11045,Belgium,,,
Country,11046,Belize,,,
Country,11047,Benin,,,
Country,11049,Bolivia,,,
Country,11050,Bosnia and Herzegovina,,,
Country,11052,Brazil,,,
Country,11054,Bulgaria,,,
Country,11055,Burkina Faso,,,
Country,11056,Burma,,,
Country,11058,Cambodia,,,
Country,11060,Canada,,,
Country,11061,Cabo Verde,,,
Country,11062,Central African Republic,,,
Country,11064,Chile,,,
Country,11065,China,,,
Country,11066,Colombia,,,
Country,11067,Comoros,,,
Country,11068,"Congo, Republic of the",,,
Country,11069,"Congo, Democratic Republic of the",,,
Country,11070,Costa Rica,,,
Country,11071,Cote d Ivoire,,,
Country,11072,Croatia,,,
Country,11073,Cuba,,,
Country,11074,Cyprus,,,
Country,11075,Czech Republic,,,
Country,11076,Denmark,,,
Country,11077,Djibouti,,,
Country,11078,Dominica,,,
Country,11079,Dominican Republic,,,
Country,11081,Ecuador,,,
Country,11082,Egypt,,,
Country,11083,El Salvador,,,
Country,11084,Equatorial Guinea,,,
Country,11085,Eritrea,,,
Country,11086,Estonia,,,
Country,11087,Ethiopia,,,
Country,11088,Fiji,,,
Country,11089,Finland,,,
Country,11090,France,,,
Country,11092,The Gambia,,,
Country,11093,Georgia,,,
Country,11094,Germany,,,
Country,11095,Ghana,,,
Country,11096,Greece,,,
Country,11098,Guatemala,,,
Country,11099,Guinea,,,
Country,11100,Guinea-Bissau,,,
Country,11101,Guyana,,,
Country,11102,Haiti,,,
Country,11104,Honduras,,,
Country,11105,Hungary,,,
Country,11106,Iceland,,,
Country,11107,India,,,
Country,11108,Indonesia,,,
Country,11109,Iran,,,
Country,11110,Iraq,,,
Country,11111,Ireland,,,
Country,11112,Israel,,,
Country,11113,Italy,,,
Country,11114,Jamaica,,,
Country,11115,Japan,,,
Country,11116,Jordan,,,
Country,11117,Kazakhstan,,,
Country,11118,Kenya,,,
Country,11120,"Korea, North",,,
Country,11121,"Korea, South",,,
Country,11122,Kuwait,,,
Country,11123,Kyrgyzstan,,,
Country,11124,Laos,,,
Country,11125,Latvia,,,
Country,11126,Lebanon,,,
Country,11128,Liberia,,,
Country,11129,Libya,,,
Country,11130,Liechtenstein,,,
Country,11131,Lithuania,,,
Country,11132,Luxembourg,,,
Country,11133,"North Macedonia, The Republic of",,,
Country,11136,Malaysia,,,
Country,11137,Maldives,,,
Country,11138,Mali,,,
Country,11139,Malta,,,
Country,11140,Marshall Islands,,,
Country,11141,Mauritania,,,
Country,11142,Mauritius,,,
Country,11143,Mexico,,,
Country,11145,Moldova,,,
Country,11146,Monaco,,,
Country,11147,Mongolia,,,
Country,11148,Morocco,,,
Country,11149,Mozambique,,,
Country,11150,Namibia,,,
Country,11153,Netherlands,,,
Country,11154,New Zealand,,,
Country,11155,Nicaragua,,,
Country,11156,Niger,,,
Country,11157,Nigeria,,,
Country,11158,Norway,,,
Country,11159,Oman,,,
Country,11160,Pakistan,,,
Country,11161,Palau,,,
Country,11162,Panama,,,
Country,11164,Paraguay,,,
Country,11165,Peru,,,
Country,11166,Philippines,,,
Country,11167,Poland,,,
Country,11168,Portugal,,,
Country,11169,Qatar,,,
Country,11170,Romania,,,
Country,11171,Russia,,,
Country,11172,Rwanda,,,
Country,11173,Saint Kitts and Nevis,,,
Country,11175,Saint Vincent and the Grenadines,,,
Country,11176,Samoa,,,
Country,11177,San Marino,,,
Country,11179,Saudi Arabia,,,
Country,11180,Senegal,,,
Country,11181,Serbia,,,
Country,11182,Seychelles,,,
Country,11183,Sierra Leone,,,
Country,11184,Singapore,,,
Country,11185,Slovakia,,,
Country,11186,Slovenia,,,
Country,11188,Somalia,,,
Country,11189,South Africa,,,
Country,11190,Spain,,,
Country,11191,Sri Lanka,,,
Country,11192,Sudan,,,
Country,11193,Suriname,,,
Country,11195,Sweden,,,
Country,11196,Switzerland,,,
Country,11197,Syria,,,
Country,11198,Tajikistan,,,
Country,11199,Tanzania,,,
Country,11200,Thailand,,,
Country,11203,Trinidad and Tobago,,,
Country,11204,Tunisia,,,
Country,11205,Turkey,,,
Country,11206,Turkmenistan,,,
Country,11208,Uganda,,,
Country,11209,Ukraine,,,
Country,11210,United Arab Emirates,,,
Country,11211,United Kingdom,,,
Country,11212,United States,,,
Country,11213,Uruguay,,,
Country,11214,Uzbekistan,,,
Country,11215,Vanuatu,,,
Country,11216,Venezuela,,,
Country,11217,Vietnam,,,
Country,11218,Yemen,,,
Country,11219,Zambia,,,
Country,11220,Zimbabwe,,,
Country,11223,Aruba,,,
Country,11226,Bermuda,,,
Country,11230,Cayman Islands,,,
Country,11241,Gibraltar,,,
Country,11245,Guernsey,,,
Country,11247,Hong Kong,,,
Country,11250,Jersey,,,
Country,11253,Macau,,,
Country,11254,"Man, Isle of",,,
Country,11260,Netherlands Antilles,,,
Country,11278,"Virgin Islands, British",,,
Country,11291,undetermined,,,
Country,11292,West Bank,,,
Country,11391,Taiwan,,,
Country,91021,Palestinian,,,
Country,91116,Kosovo,,,
Country,91192,Montenegro,,,
Country,91434,Region: Northern Mali,,,
Country,91501,South Sudan,,,
Country,91704,Region: Gaza,,,
FeatureType,1,Vessel Call Sign,,1,
FeatureType,2,VESSEL TYPE,,1,
FeatureType,3,Vessel Flag,,1,
FeatureType,4,Vessel Owner,,1,
FeatureType,5,Vessel Tonnage,,1,
FeatureType,6,Vessel Gross Registered Tonnage,,1,
FeatureType,8,Birthdate,,1,
FeatureType,9,Place of Birth,,1,
FeatureType,10,Nationality Country,,1,
FeatureType,11,Citizenship Country,,1,
FeatureType,13,SWIFT/BIC,,1,
FeatureType,14,Website,,1,
FeatureType,21,Email Address,,1,
FeatureType,24,Former Vessel Flag,,1,
FeatureType,25,Location,,1,
FeatureType,26,Title,,1,
FeatureType,44,Aircraft Construction Number (also called L/N or S/N or F/N),,1,
FeatureType,45,Aircraft Manufacture Date,,1,
FeatureType,46,Aircraft Mode S Transponder Code,,1,
FeatureType,47,Aircraft Model,,1,
FeatureType,48,Aircraft Operator,,1,
FeatureType,49,Previous Aircraft Tail Number,,1,
FeatureType,50,Aircraft Manufacturer's Serial Number (MSN),,1,
FeatureType,64,Aircraft Tail Number,,1,
FeatureType,104,IFCA Determination -,,1,
FeatureType,125,Additional Sanctions Information -,,1,
FeatureType,164,BIK (RU),,1,
FeatureType,204,Executive Order 13662 Directive Determination -,,1,
FeatureType,224,Gender,,1,
FeatureType,264,UN/LOCODE,,1,
FeatureType,304,MICEX Code,,1,
FeatureType,344,Digital Currency Address - XBT,,1,
FeatureType,345,Digital Currency Address - ETH,,1,
FeatureType,364,D-U-N-S Number,,1,
FeatureType,365,Nationality of Registration,,1,
FeatureType,404,Registration Country,,1,
FeatureType,424,Other Vessel Flag,,1,
FeatureType,425,Other Vessel Call Sign,,1,
FeatureType,444,Digital Currency Address - XMR,,1,
FeatureType,504,Secondary sanctions risk:,,1,
FeatureType,524,Phone Number,,1,
FeatureType,525,CAATSA Section 235 Information:,,1,
FeatureType,526,Other Vessel Type,,1,
FeatureType,566,Digital Currency Address - LTC,,1,
FeatureType,586,Executive Order 13846 information:,,1,
FeatureType,626,Transactions Prohibited For Persons Owned or Controlled By U.S. Financial Institutions:,,1,
FeatureType,646,Organization Established Date,,1,
FeatureType,647,Organization Type:,,1,
FeatureType,686,Digital Currency Address - ZEC,,1,
FeatureType,687,Digital Currency Address - DASH,,1,
FeatureType,688,Digital Currency Address - BTG,,1,
FeatureType,689,Digital Currency Address - ETC,,1,
FeatureType,706,Digital Currency Address - BSV,,1,
FeatureType,726,Digital Currency Address - BCH,,1,
FeatureType,746,Digital Currency Address - XVG,,1,
FeatureType,766,Equity Ticker,,1,
FeatureType,806,ISIN,,1,
FeatureType,826,Target Type,,1,
FeatureType,827,PEESA Information:,,1,
FeatureType,887,Digital Currency Address - USDT,,1,
FeatureType,907,Digital Currency Address - XRP,,1,
FeatureType,947,Executive Order 14024 Directive Information -,,1,
FeatureType,948,Executive Order 14024 Directive Information,,1,
FeatureType,951,Listing Date (EO 14024 Directive 2):,,1,
FeatureType,952,Effective Date (EO 14024 Directive 2):,,1,
FeatureType,953,Listing Date (EO 14024 Directive 3):,,1,
FeatureType,954,Effective Date (EO 14024 Directive 3):,,1,
FeatureType,967,Vessel Year of Build,,1,
FeatureType,989,Digital Currency Address - BNB,,1,
FeatureType,992,Digital Currency Address - TRX,,1,
FeatureType,996,Digital Currency Address - DOGE,,1,
FeatureType,998,Digital Currency Address - USDC,,1,
FeatureType,1007,Digital Currency Address - ARB,,1,
FeatureType,1008,Digital Currency Address - BSC,,1,
FeatureType,1167,Digital Currency Address - SOL,,1,
FeatureType,1187,PAIPA Section 2 Information:,,1,
IDRegDocType,1570,Cedula No.,,,
IDRegDocType,1571,Passport,,,
IDRegDocType,1572,SSN,,,
IDRegDocType,1573,R.F.C.,,,
IDRegDocType,1574,D.N.I.,,,
IDRegDocType,1575,NIT #,,,
IDRegDocType,1576,US FEIN,,,
IDRegDocType,1577,Driver's License No.,,,
IDRegDocType,1578,RUC #,,,
IDRegDocType,1579,N.I.E.,,,
