account_id,tipo,moeda,sintetico
ACCOUNT_001,Pessoa física,USD,True
ACCOUNT_002,Pessoa física,USD,True
ACCOUNT_003,Pessoa física,USD,True
ACCOUNT_004,Pessoa física,USD,True
ACCOUNT_005,Pessoa física,USD,True
ACCOUNT_006,Pessoa física,USD,True
ACCOUNT_007,Pessoa física,USD,True
ACCOUNT_008,Pessoa física,USD,True
ACCOUNT_009,Pessoa física,USD,True
ACCOUNT_010,Pessoa física,USD,True
ACCOUNT_011,Pessoa física,USD,True
ACCOUNT_012,Pessoa física,USD,True
ACCOUNT_013,Pessoa física,USD,True
ACCOUNT_014,Pessoa física,USD,True
ACCOUNT_015,Pessoa física,USD,True
ACCOUNT_016,Pessoa física,USD,True
ACCOUNT_017,Pessoa física,USD,True
ACCOUNT_018,Pessoa física,USD,True
ACCOUNT_019,Pessoa física,USD,True
ACCOUNT_020,Pessoa física,USD,True
ACCOUNT_021,Pessoa física,USD,True
ACCOUNT_022,Pessoa física,USD,True
ACCOUNT_023,Pessoa física,USD,True
ACCOUNT_024,Pessoa física,USD,True
ACCOUNT_025,Pessoa física,USD,True
ACCOUNT_026,Pessoa física,USD,True
ACCOUNT_027,Pessoa física,USD,True
ACCOUNT_028,Pessoa física,USD,True
ACCOUNT_029,Pessoa física,USD,True
ACCOUNT_030,Pessoa física,USD,True
ACCOUNT_031,Pessoa física,USD,True
ACCOUNT_032,Pessoa física,USD,True
ACCOUNT_033,Pessoa física,USD,True
ACCOUNT_034,Pessoa física,USD,True
ACCOUNT_035,Pessoa física,USD,True
ACCOUNT_036,Pessoa física,USD,True
ACCOUNT_037,Pessoa física,USD,True
ACCOUNT_038,Pessoa física,USD,True
ACCOUNT_039,Pessoa física,USD,True
ACCOUNT_040,Pessoa física,USD,True
ACCOUNT_041,Pessoa física,USD,True
ACCOUNT_042,Pessoa física,USD,True
ACCOUNT_043,Pessoa física,USD,True
ACCOUNT_044,Pessoa física,USD,True
ACCOUNT_045,Pessoa física,USD,True
ACCOUNT_046,Pessoa física,USD,True
ACCOUNT_047,Pessoa física,USD,True
ACCOUNT_048,Pessoa física,USD,True
ACCOUNT_049,Pessoa física,USD,True
ACCOUNT_050,Pessoa física,USD,True
ACCOUNT_051,Pessoa física,USD,True
ACCOUNT_052,Pessoa física,USD,True
ACCOUNT_053,Pessoa física,USD,True
ACCOUNT_054,Pessoa física,USD,True
ACCOUNT_055,Pessoa física,USD,True
ACCOUNT_056,Pessoa física,USD,True
ACCOUNT_057,Pessoa física,USD,True
ACCOUNT_058,Pessoa física,USD,True
ACCOUNT_059,Pessoa física,USD,True
ACCOUNT_060,Pessoa física,USD,True
ACCOUNT_061,Pessoa física,USD,True
ACCOUNT_062,Pessoa física,USD,True
ACCOUNT_063,Pessoa física,USD,True
ACCOUNT_064,Pessoa física,USD,True
ACCOUNT_065,Pessoa física,USD,True
ACCOUNT_066,Pessoa física,USD,True
ACCOUNT_067,Pessoa física,USD,True
ACCOUNT_068,Pessoa física,USD,True
ACCOUNT_069,Pessoa física,USD,True
ACCOUNT_070,Pessoa física,USD,True
ACCOUNT_071,Pessoa física,USD,True
ACCOUNT_072,Pessoa física,USD,True
ACCOUNT_073,Pessoa física,USD,True
ACCOUNT_074,Pessoa física,USD,True
ACCOUNT_075,Pessoa física,USD,True
ACCOUNT_076,Pessoa física,USD,True
ACCOUNT_077,Pessoa física,USD,True
ACCOUNT_078,Pessoa física,USD,True
ACCOUNT_079,Pessoa física,USD,True
ACCOUNT_080,Pessoa física,USD,True
ACCOUNT_081,Pessoa física,USD,True
ACCOUNT_082,Pessoa física,USD,True
ACCOUNT_083,Pessoa física,USD,True
ACCOUNT_084,Pessoa física,USD,True
ACCOUNT_085,Pessoa física,USD,True
ACCOUNT_086,Pessoa física,USD,True
ACCOUNT_087,Pessoa física,USD,True
ACCOUNT_088,Pessoa física,USD,True
ACCOUNT_089,Pessoa física,USD,True
ACCOUNT_090,Pessoa física,USD,True
ACCOUNT_091,Pessoa física,USD,True
ACCOUNT_092,Pessoa física,USD,True
ACCOUNT_093,Pessoa física,USD,True
ACCOUNT_094,Pessoa física,USD,True
ACCOUNT_095,Pessoa física,USD,True
ACCOUNT_096,Pessoa física,USD,True
ACCOUNT_097,Pessoa física,USD,True
ACCOUNT_098,Pessoa física,USD,True
ACCOUNT_099,Pessoa física,USD,True
ACCOUNT_100,Pessoa física,USD,True
ACCOUNT_101,Pessoa jurídica,USD,True
ACCOUNT_102,Pessoa jurídica,USD,True
ACCOUNT_103,Pessoa jurídica,USD,True
ACCOUNT_104,Pessoa jurídica,USD,True
ACCOUNT_105,Pessoa jurídica,USD,True
ACCOUNT_106,Pessoa jurídica,USD,True
ACCOUNT_107,Pessoa jurídica,USD,True
ACCOUNT_108,Pessoa jurídica,USD,True
ACCOUNT_109,Pessoa jurídica,USD,True
ACCOUNT_110,Pessoa jurídica,USD,True
ACCOUNT_111,Pessoa jurídica,USD,True
ACCOUNT_112,Pessoa jurídica,USD,True
ACCOUNT_113,Pessoa jurídica,USD,True
ACCOUNT_114,Pessoa jurídica,USD,True
ACCOUNT_115,Pessoa jurídica,USD,True
ACCOUNT_116,Pessoa jurídica,USD,True
ACCOUNT_117,Pessoa jurídica,USD,True
ACCOUNT_118,Pessoa jurídica,USD,True
ACCOUNT_119,Pessoa jurídica,USD,True
ACCOUNT_120,Pessoa jurídica,USD,True
ACCOUNT_121,Pessoa jurídica,USD,True
ACCOUNT_122,Pessoa jurídica,USD,True
ACCOUNT_123,Pessoa jurídica,USD,True
ACCOUNT_124,Pessoa jurídica,USD,True
ACCOUNT_125,Pessoa jurídica,USD,True
