device_id,tipo,sintetico
DEVICE_001,mobile,True
DEVICE_002,mobile,True
DEVICE_003,desktop,True
DEVICE_004,mobile,True
DEVICE_005,mobile,True
DEVICE_006,desktop,True
DEVICE_007,mobile,True
DEVICE_008,mobile,True
DEVICE_009,desktop,True
DEVICE_010,mobile,True
DEVICE_011,mobile,True
DEVICE_012,desktop,True
DEVICE_013,mobile,True
DEVICE_014,mobile,True
DEVICE_015,desktop,True
DEVICE_016,mobile,True
DEVICE_017,mobile,True
DEVICE_018,desktop,True
DEVICE_019,mobile,True
DEVICE_020,mobile,True
DEVICE_021,desktop,True
DEVICE_022,mobile,True
DEVICE_023,mobile,True
DEVICE_024,desktop,True
DEVICE_025,mobile,True
DEVICE_026,mobile,True
DEVICE_027,desktop,True
DEVICE_028,mobile,True
DEVICE_029,mobile,True
DEVICE_030,desktop,True
