origem,destino,tipo,contexto
PERSON_001,ACCOUNT_001,OWNS,propriedade de conta
PERSON_002,ACCOUNT_002,OWNS,propriedade de conta
PERSON_003,ACCOUNT_003,OWNS,propriedade de conta
PERSON_004,ACCOUNT_004,OWNS,propriedade de conta
PERSON_005,ACCOUNT_005,OWNS,propriedade de conta
PERSON_006,ACCOUNT_006,OWNS,propriedade de conta
PERSON_007,ACCOUNT_007,OWNS,propriedade de conta
PERSON_008,ACCOUNT_008,OWNS,propriedade de conta
PERSON_009,ACCOUNT_009,OWNS,propriedade de conta
PERSON_010,ACCOUNT_010,OWNS,propriedade de conta
PERSON_011,ACCOUNT_011,OWNS,propriedade de conta
PERSON_012,ACCOUNT_012,OWNS,propriedade de conta
PERSON_013,ACCOUNT_013,OWNS,propriedade de conta
PERSON_014,ACCOUNT_014,OWNS,propriedade de conta
PERSON_015,ACCOUNT_015,OWNS,propriedade de conta
PERSON_016,ACCOUNT_016,OWNS,propriedade de conta
PERSON_017,ACCOUNT_017,OWNS,propriedade de conta
PERSON_018,ACCOUNT_018,OWNS,propriedade de conta
PERSON_019,ACCOUNT_019,OWNS,propriedade de conta
PERSON_020,ACCOUNT_020,OWNS,propriedade de conta
PERSON_021,ACCOUNT_021,OWNS,propriedade de conta
PERSON_022,ACCOUNT_022,OWNS,propriedade de conta
PERSON_023,ACCOUNT_023,OWNS,propriedade de conta
PERSON_024,ACCOUNT_024,OWNS,propriedade de conta
PERSON_025,ACCOUNT_025,OWNS,propriedade de conta
PERSON_026,ACCOUNT_026,OWNS,propriedade de conta
PERSON_027,ACCOUNT_027,OWNS,propriedade de conta
PERSON_028,ACCOUNT_028,OWNS,propriedade de conta
PERSON_029,ACCOUNT_029,OWNS,propriedade de conta
PERSON_030,ACCOUNT_030,OWNS,propriedade de conta
PERSON_031,ACCOUNT_031,OWNS,propriedade de conta
PERSON_032,ACCOUNT_032,OWNS,propriedade de conta
PERSON_033,ACCOUNT_033,OWNS,propriedade de conta
PERSON_034,ACCOUNT_034,OWNS,propriedade de conta
PERSON_035,ACCOUNT_035,OWNS,propriedade de conta
PERSON_036,ACCOUNT_036,OWNS,propriedade de conta
PERSON_037,ACCOUNT_037,OWNS,propriedade de conta
PERSON_038,ACCOUNT_038,OWNS,propriedade de conta
PERSON_039,ACCOUNT_039,OWNS,propriedade de conta
PERSON_040,ACCOUNT_040,OWNS,propriedade de conta
PERSON_041,ACCOUNT_041,OWNS,propriedade de conta
PERSON_042,ACCOUNT_042,OWNS,propriedade de conta
PERSON_043,ACCOUNT_043,OWNS,propriedade de conta
PERSON_044,ACCOUNT_044,OWNS,propriedade de conta
PERSON_045,ACCOUNT_045,OWNS,propriedade de conta
PERSON_046,ACCOUNT_046,OWNS,propriedade de conta
PERSON_047,ACCOUNT_047,OWNS,propriedade de conta
PERSON_048,ACCOUNT_048,OWNS,propriedade de conta
PERSON_049,ACCOUNT_049,OWNS,propriedade de conta
PERSON_050,ACCOUNT_050,OWNS,propriedade de conta
PERSON_051,ACCOUNT_051,OWNS,propriedade de conta
PERSON_052,ACCOUNT_052,OWNS,propriedade de conta
PERSON_053,ACCOUNT_053,OWNS,propriedade de conta
PERSON_054,ACCOUNT_054,OWNS,propriedade de conta
PERSON_055,ACCOUNT_055,OWNS,propriedade de conta
PERSON_056,ACCOUNT_056,OWNS,propriedade de conta
PERSON_057,ACCOUNT_057,OWNS,propriedade de conta
PERSON_058,ACCOUNT_058,OWNS,propriedade de conta
PERSON_059,ACCOUNT_059,OWNS,propriedade de conta
PERSON_060,ACCOUNT_060,OWNS,propriedade de conta
PERSON_061,ACCOUNT_061,OWNS,propriedade de conta
PERSON_062,ACCOUNT_062,OWNS,propriedade de conta
PERSON_063,ACCOUNT_063,OWNS,propriedade de conta
PERSON_064,ACCOUNT_064,OWNS,propriedade de conta
PERSON_065,ACCOUNT_065,OWNS,propriedade de conta
PERSON_066,ACCOUNT_066,OWNS,propriedade de conta
PERSON_067,ACCOUNT_067,OWNS,propriedade de conta
PERSON_068,ACCOUNT_068,OWNS,propriedade de conta
PERSON_069,ACCOUNT_069,OWNS,propriedade de conta
PERSON_070,ACCOUNT_070,OWNS,propriedade de conta
PERSON_071,ACCOUNT_071,OWNS,propriedade de conta
PERSON_072,ACCOUNT_072,OWNS,propriedade de conta
PERSON_073,ACCOUNT_073,OWNS,propriedade de conta
PERSON_074,ACCOUNT_074,OWNS,propriedade de conta
PERSON_075,ACCOUNT_075,OWNS,propriedade de conta
PERSON_076,ACCOUNT_076,OWNS,propriedade de conta
PERSON_077,ACCOUNT_077,OWNS,propriedade de conta
PERSON_078,ACCOUNT_078,OWNS,propriedade de conta
PERSON_079,ACCOUNT_079,OWNS,propriedade de conta
PERSON_080,ACCOUNT_080,OWNS,propriedade de conta
PERSON_081,ACCOUNT_081,OWNS,propriedade de conta
PERSON_082,ACCOUNT_082,OWNS,propriedade de conta
PERSON_083,ACCOUNT_083,OWNS,propriedade de conta
PERSON_084,ACCOUNT_084,OWNS,propriedade de conta
PERSON_085,ACCOUNT_085,OWNS,propriedade de conta
PERSON_086,ACCOUNT_086,OWNS,propriedade de conta
PERSON_087,ACCOUNT_087,OWNS,propriedade de conta
PERSON_088,ACCOUNT_088,OWNS,propriedade de conta
PERSON_089,ACCOUNT_089,OWNS,propriedade de conta
PERSON_090,ACCOUNT_090,OWNS,propriedade de conta
PERSON_091,ACCOUNT_091,OWNS,propriedade de conta
PERSON_092,ACCOUNT_092,OWNS,propriedade de conta
PERSON_093,ACCOUNT_093,OWNS,propriedade de conta
PERSON_094,ACCOUNT_094,OWNS,propriedade de conta
PERSON_095,ACCOUNT_095,OWNS,propriedade de conta
PERSON_096,ACCOUNT_096,OWNS,propriedade de conta
PERSON_097,ACCOUNT_097,OWNS,propriedade de conta
PERSON_098,ACCOUNT_098,OWNS,propriedade de conta
PERSON_099,ACCOUNT_099,OWNS,propriedade de conta
PERSON_100,ACCOUNT_100,OWNS,propriedade de conta
COMPANY_001,ACCOUNT_101,OWNS,propriedade de conta
COMPANY_002,ACCOUNT_102,OWNS,propriedade de conta
COMPANY_003,ACCOUNT_103,OWNS,propriedade de conta
COMPANY_004,ACCOUNT_104,OWNS,propriedade de conta
COMPANY_005,ACCOUNT_105,OWNS,propriedade de conta
COMPANY_006,ACCOUNT_106,OWNS,propriedade de conta
COMPANY_007,ACCOUNT_107,OWNS,propriedade de conta
COMPANY_008,ACCOUNT_108,OWNS,propriedade de conta
COMPANY_009,ACCOUNT_109,OWNS,propriedade de conta
COMPANY_010,ACCOUNT_110,OWNS,propriedade de conta
COMPANY_011,ACCOUNT_111,OWNS,propriedade de conta
COMPANY_012,ACCOUNT_112,OWNS,propriedade de conta
COMPANY_013,ACCOUNT_113,OWNS,propriedade de conta
COMPANY_014,ACCOUNT_114,OWNS,propriedade de conta
COMPANY_015,ACCOUNT_115,OWNS,propriedade de conta
COMPANY_016,ACCOUNT_116,OWNS,propriedade de conta
COMPANY_017,ACCOUNT_117,OWNS,propriedade de conta
COMPANY_018,ACCOUNT_118,OWNS,propriedade de conta
COMPANY_019,ACCOUNT_119,OWNS,propriedade de conta
COMPANY_020,ACCOUNT_120,OWNS,propriedade de conta
COMPANY_021,ACCOUNT_121,OWNS,propriedade de conta
COMPANY_022,ACCOUNT_122,OWNS,propriedade de conta
COMPANY_023,ACCOUNT_123,OWNS,propriedade de conta
COMPANY_024,ACCOUNT_124,OWNS,propriedade de conta
COMPANY_025,ACCOUNT_125,OWNS,propriedade de conta
PERSON_001,DEVICE_007,USES_DEVICE,uso de dispositivo
PERSON_001,ADDRESS_009,LIVES_AT,endereço cadastrado
PERSON_002,DEVICE_002,USES_DEVICE,uso de dispositivo
PERSON_002,ADDRESS_005,LIVES_AT,endereço cadastrado
PERSON_003,DEVICE_017,USES_DEVICE,uso de dispositivo
PERSON_003,ADDRESS_020,LIVES_AT,endereço cadastrado
PERSON_004,DEVICE_012,USES_DEVICE,uso de dispositivo
PERSON_004,ADDRESS_011,LIVES_AT,endereço cadastrado
PERSON_005,DEVICE_025,USES_DEVICE,uso de dispositivo
PERSON_005,ADDRESS_017,LIVES_AT,endereço cadastrado
PERSON_006,DEVICE_025,USES_DEVICE,uso de dispositivo
PERSON_006,ADDRESS_034,LIVES_AT,endereço cadastrado
PERSON_007,DEVICE_010,USES_DEVICE,uso de dispositivo
PERSON_007,ADDRESS_008,LIVES_AT,endereço cadastrado
PERSON_008,DEVICE_029,USES_DEVICE,uso de dispositivo
