tx_id,origem,destino,valor,moeda,timestamp,ground_truth,pattern_id
TX_00290,ACCOUNT_050,ACCOUNT_019,2518.7,USD,2026-07-01 01:11:44,False,
TX_00318,ACCOUNT_064,ACCOUNT_034,1246.69,USD,2026-07-01 02:53:07,False,
TX_00254,ACCOUNT_078,ACCOUNT_056,1706.2,USD,2026-07-01 03:14:24,False,
TX_00153,ACCOUNT_082,ACCOUNT_124,2857.32,USD,2026-07-01 03:31:16,False,
TX_00093,ACCOUNT_094,ACCOUNT_053,7252.93,USD,2026-07-01 04:41:16,False,
TX_00251,ACCOUNT_083,ACCOUNT_097,422.26,USD,2026-07-01 05:50:59,False,
TX_00355,ACCOUNT_016,ACCOUNT_006,2570.5,USD,2026-07-01 06:10:43,False,
TX_00300,ACCOUNT_018,ACCOUNT_012,2697.26,USD,2026-07-01 06:40:01,False,
TX_00061,ACCOUNT_046,ACCOUNT_104,1161.22,USD,2026-07-01 07:08:22,False,
TX_00210,ACCOUNT_049,ACCOUNT_042,2729.1,USD,2026-07-01 07:43:26,False,
TX_00330,ACCOUNT_053,ACCOUNT_118,796.24,USD,2026-07-01 08:58:41,False,
TX_00082,ACCOUNT_063,ACCOUNT_117,4753.96,USD,2026-07-01 10:02:02,False,
TX_00083,ACCOUNT_035,ACCOUNT_017,211.63,USD,2026-07-01 12:55:55,False,
TX_00324,ACCOUNT_083,ACCOUNT_024,3281.75,USD,2026-07-01 13:04:32,False,
TX_00047,ACCOUNT_058,ACCOUNT_108,831.69,USD,2026-07-01 14:03:26,False,
TX_00421,ACCOUNT_050,ACCOUNT_069,832.87,USD,2026-07-01 16:43:25,False,
TX_00438,ACCOUNT_119,ACCOUNT_020,16785.82,USD,2026-07-01 19:00:35,False,
TX_00028,ACCOUNT_070,ACCOUNT_076,883.49,USD,2026-07-01 22:11:19,False,
TX_00446,ACCOUNT_003,ACCOUNT_125,5548.41,USD,2026-07-01 22:52:39,False,
TX_00131,ACCOUNT_023,ACCOUNT_092,2708.41,USD,2026-07-02 01:18:21,False,
TX_00191,ACCOUNT_074,ACCOUNT_116,1028.78,USD,2026-07-02 01:57:47,False,
TX_00066,ACCOUNT_115,ACCOUNT_030,697.36,USD,2026-07-02 02:56:13,False,
TX_00434,ACCOUNT_046,ACCOUNT_001,2017.31,USD,2026-07-02 04:12:07,False,
TX_00401,ACCOUNT_085,ACCOUNT_073,378.48,USD,2026-07-02 04:58:57,False,
TX_00284,ACCOUNT_120,ACCOUNT_037,165.95,USD,2026-07-02 05:34:37,False,
TX_00218,ACCOUNT_023,ACCOUNT_118,327.28,USD,2026-07-02 08:08:50,False,
TX_00114,ACCOUNT_072,ACCOUNT_036,492.17,USD,2026-07-02 11:27:46,False,
TX_00322,ACCOUNT_078,ACCOUNT_091,434.73,USD,2026-07-02 12:22:27,False,
TX_00449,ACCOUNT_058,ACCOUNT_027,2138.15,USD,2026-07-02 13:01:18,False,
TX_00167,ACCOUNT_001,ACCOUNT_020,222.79,USD,2026-07-02 13:11:37,False,
TX_00390,ACCOUNT_083,ACCOUNT_078,1933.78,USD,2026-07-02 14:56:58,False,
TX_00169,ACCOUNT_030,ACCOUNT_031,2629.35,USD,2026-07-02 17:12:25,False,
TX_00203,ACCOUNT_092,ACCOUNT_040,990.25,USD,2026-07-02 23:54:33,False,
TX_00384,ACCOUNT_115,ACCOUNT_077,1737.88,USD,2026-07-03 03:39:49,False,
TX_00207,ACCOUNT_063,ACCOUNT_120,1981.08,USD,2026-07-03 07:09:34,False,
TX_00134,ACCOUNT_012,ACCOUNT_073,325.44,USD,2026-07-03 12:50:06,False,
TX_00149,ACCOUNT_121,ACCOUNT_019,516.63,USD,2026-07-03 14:06:22,False,
TX_00144,ACCOUNT_015,ACCOUNT_091,1865.94,USD,2026-07-03 15:09:01,False,
TX_00027,ACCOUNT_071,ACCOUNT_070,2735.34,USD,2026-07-03 17:12:28,False,
TX_00400,ACCOUNT_070,ACCOUNT_023,1876.1,USD,2026-07-03 17:18:02,False,
TX_00179,ACCOUNT_089,ACCOUNT_047,828.39,USD,2026-07-03 18:02:20,False,
